fold,r2,mae,mse,rmse
0,0.9912009538261435,6.951219512195122,60.36585365853659,7.769546554242184
1,0.9916940789473684,7.125,63.125,7.945124291035352
2,0.995141156641736,5.7317073170731705,38.41463414634146,6.19795402906003
3,0.992048662187413,8.125,71.875,8.477912478906585
4,0.9919028859273851,6.463414634146342,46.951219512195124,6.852095994087876
