epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,163.901,1.38453,1.95885,1.57792,0.00445,0.91889,0.24402,0.37884,0.30187,0.15773,0.13867,0.7099,0.25118,0.12593,1.22228,2.58934,2.32709,0.0053,0,0.00080597,0.00080597,0.00080597
29,169.878,1.55584,2.31299,1.59654,0.00419,1.09277,0.30376,0.3959,0.33312,0.16653,0.13267,0.67918,0.23406,0.11331,1.29628,2.67207,2.29948,0.00562,0,0.000823992,0.000823992,0.000823992
30,178.393,1.7319,2.52561,1.67211,0.00437,1.08987,0.43956,0.4198,0.42718,0.23706,0.23201,0.69625,0.29518,0.14278,1.27747,3.4141,2.1242,0.00549,0,0.000841222,0.000841222,0.000841222
31,183.21,1.51413,2.42954,1.50793,0.00416,0.82591,0.43956,0.4198,0.42718,0.23706,0.23201,0.69625,0.29518,0.14278,1.27747,3.4141,2.1242,0.00549,0,0.00085766,0.00085766,0.00085766
32,187.907,1.42997,2.16828,1.53803,0.00408,1.21285,0.56533,0.48805,0.53741,0.33414,0.45929,0.53242,0.45575,0.23364,1.21744,2.51645,1.93044,0.00525,0,0.000873306,0.000873306,0.000873306
33,193.854,1.67094,2.48081,1.61251,0.00428,0.87025,0.69512,0.48246,0.61929,0.39156,0.64503,0.46514,0.55673,0.29761,1.19353,2.36717,1.82982,0.00511,0,0.00088816,0.00088816,0.00088816
34,197.24,1.44999,2.16045,1.59744,0.00376,0.91866,0.69512,0.48246,0.61929,0.39156,0.64503,0.46514,0.55673,0.29761,1.19353,2.36717,1.82982,0.00511,0,0.000902222,0.000902222,0.000902222
35,202.039,1.43043,2.10873,1.44453,0.004,1.06891,0.69836,0.55973,0.66513,0.42497,0.66855,0.53584,0.62811,0.34709,1.16582,2.24678,1.72802,0.00492,0,0.000915492,0.000915492,0.000915492
36,208.059,1.64551,2.50499,1.46621,0.00387,0.89216,0.67016,0.58703,0.67663,0.42419,0.64154,0.56197,0.63682,0.35586,1.13658,2.17078,1.70392,0.00476,0,0.00092797,0.00092797,0.00092797
37,212.814,1.40996,2.04763,1.48716,0.00404,0.91158,0.67016,0.58703,0.67663,0.42419,0.64154,0.56197,0.63682,0.35586,1.13658,2.17078,1.70392,0.00476,0,0.000939656,0.000939656,0.000939656
38,219.339,1.68491,2.45011,1.43154,0.00409,1.0433,0.64141,0.6041,0.6651,0.41281,0.61967,0.58362,0.62644,0.33705,1.17929,2.10416,1.6539,0.00491,0,0.00095055,0.00095055,0.00095055
39,226.829,1.74833,2.64306,1.60302,0.00417,0.85874,0.60639,0.59414,0.64969,0.40948,0.59594,0.5839,0.61579,0.35251,1.15531,2.11792,1.62759,0.00485,0,0.000960652,0.000960652,0.000960652
40,232.452,1.49038,2.16453,1.46413,0.00438,1.05616,0.60639,0.59414,0.64969,0.40948,0.59594,0.5839,0.61579,0.35251,1.15531,2.11792,1.62759,0.00485,0,0.000969962,0.000969962,0.000969962
41,240.522,1.61765,2.30064,1.4175,0.00369,0.83704,0.56824,0.63783,0.58742,0.36535,0.55438,0.61141,0.55513,0.33586,1.21916,2.01191,1.63718,0.00534,0,0.00097848,0.00097848,0.00097848
42,246.351,1.33734,1.88901,1.40021,0.004,0.8545,0.58375,0.63823,0.56133,0.35284,0.56502,0.61775,0.5326,0.32321,1.16859,1.93513,1.67486,0.00505,0,0.000986206,0.000986206,0.000986206
43,256.092,1.5067,2.1873,1.37591,0.00396,0.85817,0.58375,0.63823,0.56133,0.35284,0.56502,0.61775,0.5326,0.32321,1.16859,1.93513,1.67486,0.00505,0,0.00099314,0.00099314,0.00099314
44,262.221,1.50022,2.16692,1.40012,0.00386,0.76415,0.57705,0.65191,0.56215,0.36322,0.55892,0.63143,0.52768,0.31081,1.1388,1.96089,1.64442,0.00476,0,0.000999282,0.000999282,0.000999282
45,267.765,1.45447,2.10385,1.3726,0.00394,0.964,0.57705,0.65191,0.56215,0.36322,0.55892,0.63143,0.52768,0.31081,1.1388,1.96089,1.64442,0.00476,0,0.00100463,0.00100463,0.00100463
46,275.718,1.39731,1.94811,1.34198,0.00374,0.93801,0.58981,0.63481,0.60258,0.38748,0.57713,0.62116,0.57661,0.34036,1.14493,1.89603,1.62129,0.00482,0,0.00100919,0.00100919,0.00100919
