sample_id,run,image_filename,actual_count,historical_pixels_per_mm,current_pixels_per_mm,current_inner_diameter_px,detect_type,scale_ratio_current_over_historical,conditional_geometry_count_multiplier_ratio_cubed,conditional_pct_of_450_to_800_excess,elapsed_seconds
M001a,1,M001A.jpg,85.0,37.15,37.153387803297775,661,geometric_concentric_rim,1.000091192551757,1.000273602604274,0.035177477692371895,0.8504331999574788
M010a,1,M010A.jpg,60.0,73.59,73.59102102426382,1310,geometric_concentric_rim,1.000013874497402,1.0000416240697139,0.005351666106068187,11.20048769999994
M014a,1,M014A.jpg,65.0,70.71,70.71193988506609,1259,geometric_concentric_rim,1.0000274343807962,1.0000823054003452,0.01058212290151937,20.2554704999784
M020a,1,M020A.jpg,100.0,73.55,73.54662381685696,1309,geometric_concentric_rim,0.9999540967621614,0.9998622966077092,-0.017704721865959998,12.732712400029413
M045a,1,M045A.jpg,245.0,71.82,71.8179203003876,1637,geometric_concentric_rim,0.9999710428903872,0.9999131311866799,-0.011168847426869442,13.548833700013347
M056a,1,M056A.jpg,300.0,70.31,70.30598012051841,1603,geometric_concentric_rim,0.9999428263478654,0.9998284888498886,-0.022051433585748965,12.149622799945064
