sample_id,run,image_filename,actual_count,historical_pixels_per_mm,current_pixels_per_mm,current_inner_diameter_px,detect_type,outer_confidence,inner_confidence,scale_ratio_current_over_historical,conditional_geometry_count_multiplier_ratio_cubed,conditional_pct_of_450_to_800_excess,elapsed_seconds
M001a,1,M001A.jpg,85.0,37.15,137.00153245192305,2439,geometric_concentric_rim,0.0662729658792651,,3.687793605704524,50.15333542386495,6319.714554496923,0.5613876999705099
M010a,1,M010A.jpg,60.0,73.59,83.986603810237,1495,geometric_concentric_rim,0.7944915254237288,,1.1412773992422476,1.486529906831048,62.553845163991895,2.840454999997746
M014a,1,M014A.jpg,65.0,70.71,83.96934127807617,1495,geometric_concentric_rim,0.8404040404040404,,1.1875172009344672,1.674633315944784,86.7385691929008,2.8705228000180796
M020a,1,M020A.jpg,100.0,73.55,78.76760981633112,1402,geometric_concentric_rim,0.4935483870967742,,1.0709396304055896,1.2282731835096934,29.349409308389152,3.107453999982681
M045a,1,M045A.jpg,245.0,71.82,72.65655127237008,1657,geometric_concentric_rim,0.16449410304158907,,1.0116478873902826,1.0353522623199127,4.545290869703066,3.0969862999627367
M056a,1,M056A.jpg,300.0,70.31,79.92133952296055,1822,geometric_concentric_rim,0.499383477188656,,1.1366994669742647,1.468713101717275,60.26311307793536,2.9989397999597713
M010a,2,M010A.jpg,60.0,73.59,83.99909987816442,1495,geometric_concentric_rim,0.8008474576271186,,1.1414472058454195,1.4871935320454321,62.63916840584128,2.7925078999833204
M010a,3,M010A.jpg,60.0,73.59,84.06916016798752,1496,geometric_concentric_rim,0.809322033898305,,1.142399241309791,1.4909178625768171,63.11801090273364,2.6089763999916613
M010a,4,M010A.jpg,60.0,73.59,84.0398430457482,1496,geometric_concentric_rim,0.8072033898305084,,1.1420008567162412,1.4893586398979544,62.91753941545127,2.370656799990684
M010a,5,M010A.jpg,60.0,73.59,83.98633443392238,1495,geometric_concentric_rim,0.8029661016949152,,1.141273738740622,1.4865156033119613,62.55200614010932,2.7053064000210725
