epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,131.1,1.18119,2.57143,0.70617,0.97853,0,0.91993,0.8473,0.90408,0.63419,0.85983,0.71909,0.74624,0.33539,1.03696,2.45338,0.61226,0.91473,0,0.008152,0.008152,0.008152
30,134.887,1.14009,2.6164,0.66086,0.94963,0,0.94717,0.83613,0.89864,0.61804,0.89195,0.74295,0.78694,0.35062,1.07749,2.32913,0.61082,0.91078,0,0.008086,0.008086,0.008086
31,139.894,1.06131,2.33256,0.57602,0.93481,0,0.94717,0.83613,0.89864,0.61804,0.89195,0.74295,0.78694,0.35062,1.07749,2.32913,0.61082,0.91078,0,0.00802,0.00802,0.00802
32,143.82,1.25471,2.47929,0.66398,0.97709,0,0.93238,0.85466,0.9172,0.59177,0.87445,0.73102,0.77381,0.3406,1.12169,2.34132,0.63571,0.92354,0,0.007954,0.007954,0.007954
33,147.625,0.9952,2.17521,0.64727,0.95904,0,0.93238,0.85466,0.9172,0.59177,0.87445,0.73102,0.77381,0.3406,1.12169,2.34132,0.63571,0.92354,0,0.007888,0.007888,0.007888
34,151.595,1.11939,2.18166,0.61227,0.96368,0,0.95635,0.84599,0.91209,0.59438,0.92432,0.80807,0.84559,0.38753,1.17585,2.07003,0.68763,0.92016,0,0.007822,0.007822,0.007822
35,156.568,1.2232,2.2891,0.6412,0.98345,0,0.95635,0.84599,0.91209,0.59438,0.92432,0.80807,0.84559,0.38753,1.17585,2.07003,0.68763,0.92016,0,0.007756,0.007756,0.007756
36,160.308,1.13942,2.19361,0.62924,0.95059,0,0.94362,0.86334,0.91282,0.6337,0.91889,0.8308,0.85731,0.43218,1.03465,1.98663,0.574,0.9043,0,0.00769,0.00769,0.00769
37,164.16,1.11497,2.11371,0.61537,0.93244,0,0.94362,0.86334,0.91282,0.6337,0.91889,0.8308,0.85731,0.43218,1.03465,1.98663,0.574,0.9043,0,0.007624,0.007624,0.007624
38,169.613,1.29057,2.09554,0.71652,0.96489,0,0.91174,0.82863,0.89758,0.5417,0.88644,0.79067,0.83506,0.36976,1.3057,1.94899,0.7957,0.93921,0,0.007558,0.007558,0.007558
39,173.308,1.30765,1.98933,0.71688,0.96184,0,0.91174,0.82863,0.89758,0.5417,0.88644,0.79067,0.83506,0.36976,1.3057,1.94899,0.7957,0.93921,0,0.007492,0.007492,0.007492
40,177.195,1.11568,1.88294,0.88746,0.94105,0,0.9317,0.87291,0.90559,0.60751,0.9113,0.83623,0.86052,0.46798,1.05462,1.83226,0.73151,0.90497,0,0.007426,0.007426,0.007426
41,181.548,1.23034,2.07053,0.87494,0.94289,0,0.9317,0.87291,0.90559,0.60751,0.9113,0.83623,0.86052,0.46798,1.05462,1.83226,0.73151,0.90497,0,0.00736,0.00736,0.00736
42,186.221,1.11703,1.93315,0.90909,0.94152,0,0.91446,0.86876,0.90679,0.62207,0.89647,0.83585,0.86681,0.4441,1.05323,1.84015,0.98217,0.90308,0,0.007294,0.007294,0.007294
